# source: https://github.com/datacoon/russiannames (BSD-3-Clause)
# format: kind\ttext\tgender  kind=n|m|s  gender=m|f
n	маркс	m
n	леопольд	m
n	феофания	f
n	салима	f
n	слава	f
n	владлена	f
n	нэлля	f
n	ляйля	f
n	раил	m
n	алексадр	m
n	эдик	m
n	ровшан	m
n	алан	m
n	евграф	m
n	сабирьян	m
n	никон	m
n	шагит	m
n	хана	f
n	хачик	m
n	милитина	f
n	аделина	f
n	лиза	f
n	гульфира	f
n	линара	f
n	лолита	f
n	миниахмет	m
n	маркел	m
n	мулланур	m
n	мина	m
n	генриетта	f
n	гасан	m
n	мамед	m
n	райхана	f
n	томара	f
n	финат	m
n	кронид	m
n	сайфулла	m
n	рафгат	m
n	соня	f
n	масхут	m
n	осман	m
n	леван	m
n	сильва	f
n	вилена	f
n	нэлла	f
n	фанзиля	f
n	радис	m
n	анджей	m
n	алексндр	m
n	гурьян	m
n	магомет	m
n	фазыл	m
n	мстислав	m
n	гайк	m
n	халима	f
n	расих	m
n	михайл	m
n	гамлет	m
n	анис	m
n	леля	f
n	зульфат	m
n	газинур	m
n	фаниля	f
n	серегй	m
n	шайхулла	m
n	аполлинария	f
n	файзулла	m
n	амин	m
n	анвер	m
n	галий	m
n	варис	m
n	раиф	m
n	феня	f
n	раян	m
n	надир	m
n	лида	f
n	азалия	f
n	вардан	m
n	зураб	m
n	найля	f
n	залифа	f
n	зинфир	m
n	анрей	m
n	антонин	m
n	гаян	m
n	гений	m
n	фоат	m
n	юсуф	m
n	донат	m
n	зайнаб	f
n	фаяз	m
n	асланбек	m
n	ильхам	m
n	гарик	m
n	вугар	m
n	гульнар	f
n	гузаль	f
n	фидрат	m
n	фархад	m
n	дим	m
n	алескандр	m
n	януш	m
n	генрика	m
n	альфреда	f
n	хази	m
n	лутфулла	m
n	евлампий	m
n	вазых	m
n	максут	m
n	агрепина	f
n	гайнулла	m
n	клеопатра	f
n	шота	m
n	ваган	m
n	суфия	f
n	инсаф	m
n	казимира	f
n	анзор	m
n	фируза	f
n	халиулла	m
n	еремей	m
n	сафа	m
n	зиннат	m
n	энгельс	m
n	сафуан	m
n	назиб	m
n	абдурахман	m
n	вольдемар	m
n	рустям	m
n	дарина	f
n	радиф	m
n	войтех	m
n	татьна	f
n	ярулла	m
n	хатип	m
n	шарип	m
n	никанор	m
n	кондрат	m
n	карам	m
n	натан	m
n	гелий	m
n	макс	m
n	фаня	f
n	магдалина	f
n	башир	m
n	галинур	m
n	жорж	m
n	шамил	m
n	янис	m
n	джамиля	f
